Episode,Reward
0,-1307.149855
1,-1307.149855
2,-1307.149855
3,-1307.149855
4,-1307.149855
5,-1307.149855
6,-1307.149855
7,-1307.149855
8,-1307.149855
9,-1307.149855
10,-1307.149855
11,-1307.149855
12,-1307.149855
13,-1307.149855
14,-1307.149855
15,-1307.149855
16,-1307.149855
17,-1307.149855
18,-1307.149855
19,-1307.149855
20,-1307.149855
21,-1307.149855
22,-1307.149855
23,-1307.149855
24,-1307.149855
25,-1307.149855
26,-1307.149855
27,-1307.149855
28,-1307.149855
29,-1307.149855
30,-1307.149855
31,-1307.149855
32,-1307.149855
33,-1307.149855
34,-1307.149855
35,-1307.149855
36,-1307.149855
37,-1307.149855
38,-1307.149855
39,-1307.149855
40,-1307.149855
41,-1307.149855
42,-1307.149855
43,-1307.149855
44,-1307.149855
45,-1307.149855
46,-1307.149855
47,-1307.149855
48,-1307.149855
49,-1307.149855
50,-1307.149855
51,-1307.149855
52,-1307.149855
53,-1307.149855
54,-1307.149855
55,-1307.149855
56,-1307.149855
57,-1307.149855
58,-1307.149855
59,-1307.149855
60,-1307.149855
61,-1307.149855
62,-1307.149855
63,-1307.149855
64,-1307.149855
65,-1307.149855
66,-1307.149855
67,-1307.149855
68,-1307.149855
69,-1307.149855
70,-1307.149855
71,-1307.149855
72,-1307.149855
73,-1307.149855
74,-1307.149855
75,-1307.149855
76,-1307.149855
77,-1307.149855
78,-1307.149855
79,-1307.149855
80,-1307.149855
81,-1307.149855
82,-1307.149855
83,-1307.149855
84,-1307.149855
85,-1307.149855
86,-1307.149855
87,-1307.149855
88,-1307.149855
89,-1307.149855
90,-1307.149855
91,-1307.149855
92,-1307.149855
93,-1307.149855
94,-1307.149855
95,-1307.149855
96,-1307.149855
97,-1307.149855
98,-1307.149855
99,-1307.149855
100,-1307.149855
101,-1307.149855
102,-1307.149855
103,-1307.149855
104,-1307.149855
105,-1307.149855
106,-1307.149855
107,-1307.149855
108,-1307.149855
109,-1307.149855
110,-1307.149855
111,-1307.149855
112,-1307.149855
113,-1307.149855
114,-1307.149855
115,-1307.149855
116,-1307.149855
117,-1307.149855
118,-1307.149855
119,-1307.149855
120,-1307.149855
121,-1307.149855
122,-1307.149855
123,-1307.149855
124,-1307.149855
125,-1307.149855
126,-1307.149855
127,-1307.149855
128,-1307.149855
129,-1307.149855
130,-1307.149855
131,-1307.149855
