Episode,Reward
0,-172.944494
1,-172.944494
2,-172.944494
3,-172.944494
4,-172.944494
5,-172.944494
6,-172.944494
7,-172.944494
8,-172.944494
9,-172.944494
10,-172.944494
11,-172.944494
12,-172.944494
13,-172.944494
14,-172.944494
15,-172.944494
16,-172.944494
17,-172.944494
18,-172.944494
19,-172.944494
20,-172.944494
21,-172.944494
22,-172.944494
23,-172.944494
24,-172.944494
25,-172.944494
26,-172.944494
27,-172.944494
28,-172.944494
29,-172.944494
30,-172.944494
31,-172.944494
32,-172.944494
33,-172.944494
34,-172.944494
35,-172.944494
36,-172.944494
37,-172.944494
38,-172.944494
39,-172.944494
40,-172.944494
41,-172.944494
42,-172.944494
43,-172.944494
44,-172.944494
45,-172.944494
46,-172.944494
47,-172.944494
48,-172.944494
49,-172.944494
50,-172.944494
51,-172.944494
52,-172.944494
53,-172.944494
54,-172.944494
55,-172.944494
56,-172.944494
57,-172.944494
58,-172.944494
59,-172.944494
60,-172.944494
61,-172.944494
62,-172.944494
63,-172.944494
64,-172.944494
65,-172.944494
66,-172.944494
67,-172.944494
68,-172.944494
69,-172.944494
70,-172.944494
71,-172.944494
72,-172.944494
73,-172.944494
74,-172.944494
75,-172.944494
76,-172.944494
77,-172.944494
78,-172.944494
79,-172.944494
80,-172.944494
81,-172.944494
82,-172.944494
83,-172.944494
84,-172.944494
85,-172.944494
86,-172.944494
87,-172.944494
88,-172.944494
89,-172.944494
90,-172.944494
91,-172.944494
92,-172.944494
93,-172.944494
94,-172.944494
95,-172.944494
96,-172.944494
97,-172.944494
98,-172.944494
99,-172.944494
100,-172.944494
101,-172.944494
102,-172.944494
103,-172.944494
104,-172.944494
105,-172.944494
106,-172.944494
107,-172.944494
108,-172.944494
109,-172.944494
110,-172.944494
111,-172.944494
112,-172.944494
113,-172.944494
114,-172.944494
115,-172.944494
116,-172.944494
117,-172.944494
118,-172.944494
119,-172.944494
120,-172.944494
121,-172.944494
122,-172.944494
123,-172.944494
124,-172.944494
125,-172.944494
126,-172.944494
127,-172.944494
128,-172.944494
129,-172.944494
130,-172.944494
131,-172.944494
132,-172.944494
133,-172.944494
134,-172.944494
135,-172.944494
136,-172.944494
137,-172.944494
138,-172.944494
139,-172.944494
140,-172.944494
141,-172.944494
142,-172.944494
143,-172.944494
144,-172.944494
145,-172.944494
146,-172.944494
147,-172.944494
148,-172.944494
149,-172.944494
150,-172.944494
151,-172.944494
152,-172.944494
153,-172.944494
154,-172.944494
155,-172.944494
156,-172.944494
157,-172.944494
158,-172.944494
159,-172.944494
160,-172.944494
161,-172.944494
162,-172.944494
163,-172.944494
164,-172.944494
165,-172.944494
166,-172.944494
167,-172.944494
168,-172.944494
169,-172.944494
170,-172.944494
171,-172.944494
172,-172.944494
173,-172.944494
174,-172.944494
175,-172.944494
176,-172.944494
177,-172.944494
178,-172.944494
179,-172.944494
180,-172.944494
181,-172.944494
182,-172.944494
183,-172.944494
184,-172.944494
185,-172.944494
186,-172.944494
187,-172.944494
188,-172.944494
189,-172.944494
190,-172.944494
191,-172.944494
192,-172.944494
193,-172.944494
194,-172.944494
195,-172.944494
196,-172.944494
197,-172.944494
198,-172.944494
199,-172.944494
200,-172.944494
201,-172.944494
202,-172.944494
203,-172.944494
204,-172.944494
205,-172.944494
206,-172.944494
207,-172.944494
208,-172.944494
209,-172.944494
210,-172.944494
211,-172.944494
212,-172.944494
213,-172.944494
214,-172.944494
215,-172.944494
216,-172.944494
217,-172.944494
218,-1018.486545
219,-1018.486545
220,-1018.486545
221,-1018.486545
222,-1018.486545
223,-1018.486545
224,-1018.486545
225,-1018.486545
226,-1018.486545
227,-1018.486545
228,-1018.486545
229,-1018.486545
230,-1018.486545
231,-1018.486545
232,-1018.486545
233,-1018.486545
234,-1018.486545
235,-1018.486545
236,-1018.486545
237,-1018.486545
238,-1018.486545
239,-1018.486545
240,-1018.486545
241,-1018.486545
242,-1018.486545
243,-1018.486545
244,-1018.486545
245,-1018.486545
246,-1018.486545
247,-1018.486545
248,-1018.486545
249,-1018.486545
250,-1018.486545
251,-1018.486545
252,-1018.486545
253,-1018.486545
254,-1018.486545
255,-1018.486545
256,-1018.486545
257,-1018.486545
258,-1018.486545
259,-1018.486545
260,-1018.486545
261,-1018.486545
262,-1018.486545
263,-1018.486545
264,-1018.486545
265,-1018.486545
266,-1018.486545
267,-1018.486545
268,-1018.486545
269,-1018.486545
270,-1018.486545
271,-1018.486545
272,-1018.486545
273,-1018.486545
274,-1018.486545
275,-1018.486545
276,-1018.486545
277,-1018.486545
278,-1018.486545
279,-1018.486545
280,-1018.486545
281,-1018.486545
282,-1018.486545
283,-1018.486545
284,-1018.486545
285,-1018.486545
286,-1018.486545
287,-1018.486545
288,-1018.486545
289,-1018.486545
290,-1018.486545
291,-1018.486545
292,-1018.486545
293,-1018.486545
294,-1018.486545
295,-1018.486545
296,-1018.486545
297,-1018.486545
298,-1018.486545
299,-1018.486545
300,-1018.486545
301,-1018.486545
302,-1018.486545
303,-1018.486545
304,-1018.486545
305,-1018.486545
306,-1018.486545
307,-1018.486545
308,-1018.486545
309,-1018.486545
310,-1018.486545
311,-1018.486545
312,-1018.486545
313,-1018.486545
314,-1018.486545
315,-1018.486545
316,-1018.486545
317,-1018.486545
318,-1018.486545
319,-1018.486545
320,-1018.486545
321,-1018.486545
322,-1018.486545
323,-1018.486545
324,-1018.486545
325,-1018.486545
326,-1018.486545
327,-1018.486545
328,-1018.486545
329,-1018.486545
330,-1018.486545
331,-1018.486545
332,-1018.486545
333,-1018.486545
334,-1018.486545
335,-1018.486545
336,-1018.486545
337,-1018.486545
338,-995.536935
339,-995.536935
340,-995.536935
341,-995.536935
342,-995.536935
343,-995.536935
344,-995.536935
345,-995.536935
346,-995.536935
347,-995.536935
348,-995.536935
349,-995.536935
350,-995.536935
351,-995.536935
352,-995.536935
353,-995.536935
354,-995.536935
355,-995.536935
356,-995.536935
357,-995.536935
358,-995.536935
359,-995.536935
360,-995.536935
361,-995.536935
362,-995.536935
363,-995.536935
364,-995.536935
365,-995.536935
366,-995.536935
367,-995.536935
368,-995.536935
369,-995.536935
370,-995.536935
371,-995.536935
372,-995.536935
373,-995.536935
374,-995.536935
375,-995.536935
376,-995.536935
377,-995.536935
378,-995.536935
379,-995.536935
380,-995.536935
381,-995.536935
382,-995.536935
383,-995.536935
384,-995.536935
385,-995.536935
386,-995.536935
387,-995.536935
388,-995.536935
389,-995.536935
390,-995.536935
391,-995.536935
392,-995.536935
393,-995.536935
394,-995.536935
395,-995.536935
396,-995.536935
397,-995.536935
398,-995.536935
399,-995.536935
400,-995.536935
401,-995.536935
402,-995.536935
403,-995.536935
404,-995.536935
405,-995.536935
406,-995.536935
407,-995.536935
408,-995.536935
409,-995.536935
410,-995.536935
411,-995.536935
412,-995.536935
413,-995.536935
414,-995.536935
415,-995.536935
416,-995.536935
417,-995.536935
418,-995.536935
419,-995.536935
420,-995.536935
