Episode,Reward
0,-2.723078
1,-2.723078
2,-2.723078
3,-2.723078
4,-2.723078
5,-2.723078
6,-2.723078
7,-2.723078
8,-2.723078
9,-2.723078
10,-2.723078
11,-2.723078
12,-2.723078
13,-2.723078
14,-2.723078
15,-2.723078
16,-2.723078
17,-2.723078
18,-2.723078
19,-2.723078
20,-2.723078
21,-2.723078
22,-2.723078
23,-2.723078
24,-2.723078
25,-2.723078
26,-2.723078
27,-2.723078
28,-2.723078
29,-2.723078
30,-2.723078
31,-2.723078
32,-2.723078
33,-2.723078
34,-2.723078
35,-2.723078
36,-2.723078
37,-2.723078
38,-2.723078
39,-2.723078
40,-2.723078
41,-2.723078
42,-2.723078
43,-2.723078
44,-2.723078
45,-2.723078
46,-2.723078
47,-2.723078
48,-2.723078
49,-2.723078
50,-2.723078
51,-2.723078
52,-2.723078
53,-2.723078
54,-2.723078
55,-2.723078
56,-2.723078
57,-2.723078
58,-2.723078
59,-2.723078
60,-2.723078
61,-2.723078
62,-2.723078
63,-2.723078
64,-2.723078
65,-2.723078
66,-2.723078
67,-2.723078
68,-2.723078
69,-2.723078
70,-2.723078
71,-2.723078
72,-2.723078
73,-2.723078
74,-2.723078
75,-2.723078
76,-2.723078
77,-2.723078
78,-2.723078
79,-2.723078
80,-2.723078
81,-2.723078
82,-2.723078
83,-2.723078
84,-2.723078
85,-2.723078
86,-2.723078
87,-2.723078
88,-2.723078
89,-2.723078
90,-2.723078
91,-2.723078
92,-2.723078
93,-2.723078
94,-2.723078
95,-2.723078
96,-2.723078
97,-2.723078
98,-2.723078
99,-2.723078
100,-2.723078
101,-2.723078
102,-2.723078
103,-2.723078
104,-2.723078
105,-2.723078
106,-2.723078
107,-2.723078
108,-2.723078
109,-2.723078
110,-2.723078
111,-2.723078
112,-2.723078
113,-2.723078
114,-2.723078
115,-2.723078
116,-2.723078
117,-2.723078
118,-2.723078
119,-2.723078
120,-2.723078
121,-2.723078
122,-2.723078
123,-2.723078
124,-2.723078
125,-2.723078
126,-2.723078
127,-2.723078
128,-2.723078
129,-2.723078
130,-2.723078
131,-2.723078
132,-2.723078
133,-2.723078
134,-2.723078
135,-2.723078
136,-2.723078
137,-2.723078
138,-2.723078
139,-2.723078
140,-2.723078
141,-2.723078
142,-2.723078
143,-2.723078
144,-2.723078
145,-2.723078
146,-2.723078
147,-2.723078
148,-2.723078
149,-2.723078
150,-2.723078
151,-2.723078
152,-2.723078
153,-2.723078
154,-2.723078
155,-2.723078
156,-2.723078
157,-2.723078
158,-3.252036
159,-3.252036
160,-3.252036
161,-3.252036
162,-3.252036
163,-3.252036
164,-3.252036
165,-3.252036
166,-3.252036
167,-3.252036
168,-3.252036
169,-3.252036
170,-3.252036
171,-3.252036
172,-3.252036
173,-3.252036
174,-3.252036
175,-3.252036
176,-3.252036
177,-3.252036
178,-3.252036
179,-3.252036
180,-3.252036
181,-3.252036
182,-3.252036
183,-3.252036
184,-3.252036
185,-3.252036
186,-3.252036
187,-3.252036
188,-3.252036
189,-3.252036
190,-3.252036
191,-3.252036
192,-3.252036
193,-3.252036
194,-3.252036
195,-3.252036
196,-3.252036
197,-3.252036
198,-3.252036
199,-3.252036
200,-3.252036
201,-3.252036
202,-3.252036
203,-3.252036
204,-3.252036
205,-3.252036
206,-3.252036
207,-3.252036
208,-3.252036
209,-3.252036
210,-3.252036
211,-3.252036
212,-3.252036
213,-3.252036
214,-3.252036
215,-3.252036
216,-3.252036
217,-3.583151
218,-3.583151
219,-3.583151
220,-3.583151
221,-3.583151
222,-3.583151
223,-3.583151
224,-3.583151
225,-3.583151
226,-3.583151
227,-3.583151
228,-3.583151
229,-3.583151
230,-3.583151
231,-3.583151
232,-3.583151
233,-3.583151
234,-3.583151
235,-3.583151
236,-3.583151
237,-3.583151
238,-3.583151
239,-3.583151
240,-3.583151
241,-3.583151
242,-3.583151
243,-3.583151
244,-3.583151
245,-3.583151
246,-3.583151
247,-3.583151
248,-3.583151
249,-3.583151
250,-3.583151
251,-3.583151
252,-3.583151
253,-3.583151
254,-3.583151
255,-3.583151
256,-3.583151
257,-3.583151
258,-3.583151
259,-3.583151
260,-3.583151
261,-3.583151
262,-3.583151
263,-3.583151
264,-3.583151
265,-3.583151
266,-3.583151
267,-3.583151
268,-3.583151
269,-3.583151
270,-3.583151
271,-3.583151
272,-3.583151
273,-3.583151
274,-3.583151
275,-3.583151
276,-3.407273
277,-3.407273
278,-3.407273
279,-3.407273
280,-3.407273
281,-3.407273
282,-3.407273
283,-3.407273
284,-3.407273
285,-3.407273
286,-3.407273
287,-3.407273
288,-3.407273
289,-3.407273
290,-3.407273
291,-3.407273
292,-3.407273
293,-3.407273
294,-3.407273
295,-3.407273
296,-3.407273
297,-3.407273
298,-3.407273
299,-3.407273
300,-3.407273
301,-3.407273
302,-3.407273
303,-3.407273
304,-3.407273
305,-3.407273
306,-3.407273
307,-3.407273
308,-3.407273
309,-3.407273
310,-3.407273
311,-3.407273
312,-3.407273
313,-3.407273
314,-3.407273
315,-3.407273
316,-3.407273
317,-3.407273
318,-3.407273
319,-3.407273
320,-3.407273
321,-3.407273
322,-3.407273
323,-3.407273
324,-3.407273
325,-3.407273
326,-3.407273
327,-3.407273
328,-3.407273
329,-3.407273
330,-3.407273
331,-3.407273
332,-3.407273
333,-3.407273
334,-3.407273
335,-3.397326
336,-3.397326
337,-3.397326
338,-3.397326
339,-3.397326
340,-3.397326
341,-3.397326
342,-3.397326
343,-3.397326
344,-3.397326
345,-3.397326
346,-3.397326
347,-3.397326
348,-3.397326
349,-3.397326
350,-3.397326
351,-3.397326
352,-3.397326
353,-3.397326
354,-3.397326
355,-3.397326
356,-3.397326
357,-3.397326
358,-3.397326
359,-3.397326
360,-3.397326
361,-3.397326
362,-3.397326
363,-3.397326
364,-3.397326
365,-3.397326
366,-3.397326
367,-3.397326
368,-3.397326
369,-3.397326
370,-3.397326
371,-3.397326
372,-3.397326
373,-3.397326
374,-3.397326
375,-3.397326
376,-3.397326
377,-3.397326
378,-3.397326
379,-3.397326
380,-3.397326
381,-3.397326
382,-3.397326
383,-3.397326
384,-3.397326
385,-3.397326
386,-3.397326
387,-3.397326
388,-3.397326
389,-3.397326
390,-3.397326
391,-3.397326
392,-3.397326
393,-3.397326
394,-3.131614
395,-3.131614
396,-3.131614
397,-3.131614
398,-3.131614
399,-3.131614
400,-3.131614
401,-3.131614
402,-3.131614
403,-3.131614
404,-3.131614
405,-3.131614
406,-3.131614
407,-3.131614
408,-3.131614
409,-3.131614
410,-3.131614
411,-3.131614
412,-3.131614
413,-3.131614
414,-3.131614
415,-3.131614
416,-3.131614
417,-3.131614
418,-3.131614
419,-3.131614
420,-3.131614
421,-3.131614
422,-3.131614
423,-3.131614
424,-3.131614
425,-3.131614
426,-3.131614
427,-3.131614
428,-3.131614
429,-3.131614
430,-3.131614
431,-3.131614
432,-3.131614
433,-3.131614
434,-3.131614
435,-3.131614
436,-3.131614
437,-3.131614
438,-3.131614
439,-3.131614
440,-3.131614
441,-3.131614
442,-3.131614
443,-3.131614
444,-3.131614
445,-3.131614
446,-3.131614
447,-3.131614
448,-3.131614
449,-3.131614
450,-3.131614
451,-3.131614
452,-3.131614
453,-2.651059
454,-2.651059
455,-2.651059
456,-2.651059
457,-2.651059
458,-2.651059
459,-2.651059
460,-2.651059
461,-2.651059
462,-2.651059
463,-2.651059
464,-2.651059
465,-2.651059
466,-2.651059
467,-2.651059
468,-2.651059
469,-2.651059
470,-2.651059
471,-2.651059
472,-2.651059
473,-2.651059
474,-2.651059
475,-2.651059
476,-2.651059
477,-2.651059
478,-2.651059
479,-2.651059
480,-2.651059
481,-2.651059
482,-2.651059
483,-2.651059
484,-2.651059
485,-2.651059
486,-2.651059
487,-2.651059
488,-2.651059
489,-2.651059
490,-2.651059
491,-2.651059
492,-2.651059
493,-2.651059
494,-2.651059
495,-2.651059
496,-2.651059
497,-2.651059
498,-2.651059
499,-2.651059
500,-2.651059
501,-2.651059
502,-2.651059
503,-2.651059
504,-2.651059
505,-2.651059
506,-2.651059
507,-2.651059
508,-2.651059
509,-2.651059
510,-2.651059
511,-2.651059
512,-2.677373
513,-2.677373
514,-2.677373
515,-2.677373
516,-2.677373
517,-2.677373
518,-2.677373
519,-2.677373
520,-2.677373
521,-2.677373
522,-2.677373
523,-2.677373
524,-2.677373
525,-2.677373
526,-2.677373
527,-2.677373
528,-2.677373
529,-2.677373
530,-2.677373
531,-2.677373
532,-2.677373
533,-2.677373
534,-2.677373
535,-2.677373
536,-2.677373
537,-2.677373
538,-2.677373
539,-2.677373
540,-2.677373
541,-2.677373
542,-2.677373
543,-2.677373
544,-2.677373
545,-2.677373
546,-2.677373
547,-2.677373
548,-2.677373
549,-2.677373
550,-2.677373
551,-2.677373
552,-2.677373
553,-2.677373
554,-2.677373
555,-2.677373
556,-2.677373
557,-2.677373
558,-2.677373
559,-2.677373
560,-2.677373
561,-2.677373
562,-2.677373
563,-2.677373
564,-2.677373
565,-2.677373
566,-2.677373
567,-2.677373
568,-2.677373
569,-2.677373
570,-2.677373
571,-1.359092
572,-1.359092
573,-1.359092
574,-1.359092
575,-1.359092
576,-1.359092
577,-1.359092
578,-1.359092
579,-1.359092
580,-1.359092
581,-1.359092
582,-1.359092
583,-1.359092
584,-1.359092
585,-1.359092
586,-1.359092
587,-1.359092
588,-1.359092
589,-1.359092
590,-1.359092
591,-1.359092
592,-1.359092
593,-1.359092
594,-1.359092
595,-1.359092
596,-1.359092
597,-1.359092
598,-1.359092
599,-1.359092
600,-1.359092
601,-1.359092
602,-1.359092
603,-1.359092
604,-1.359092
605,-1.359092
606,-1.359092
607,-1.359092
608,-1.359092
609,-1.359092
610,-1.359092
611,-1.359092
612,-1.359092
613,-1.359092
614,-1.359092
615,-1.359092
616,-1.359092
617,-1.359092
618,-1.359092
619,-1.359092
620,-1.359092
621,-1.359092
622,-1.359092
623,-1.359092
624,-1.359092
625,-1.359092
626,-1.359092
627,-1.359092
628,-1.359092
629,-1.359092
630,-0.831697
631,-0.831697
